[Test 4] Epoch 94 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3967
[Test 4] Epoch 95 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3929
[Test 4] Epoch 96 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3891
[Test 4] Epoch 97 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3853
[Test 4] Epoch 98 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3816
[Test 4] Epoch 99 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3779
[Test 4] Epoch 100 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3742
[Test 4] Epoch 101 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3706
[Test 4] Epoch 102 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3670
[Test 4] Epoch 103 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3634
[Test 4] Epoch 104 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3599
[Test 4] Epoch 105 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3564
[Test 4] Epoch 106 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3530
[Test 4] Epoch 107 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3496
[Test 4] Epoch 108 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3462
[Test 4] Epoch 109 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3429
[Test 4] Epoch 110 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3395
[Test 4] Epoch 111 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3363
[Test 4] Epoch 112 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3330
[Test 4] Epoch 113 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3298
[Test 4] Epoch 114 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3266
[Test 4] Epoch 115 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3235
[Test 4] Epoch 116 | LOSS | Score: -100 | Reward: -10.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3204
