[Test 10] Epoch 134 | WIN | Score: 30 | Reward: 7.30 | Loss: 0.9220 | Pigs killed: 2/2 | Tries left: 3 | Shots: 7 | Eps: 0.5166
[Test 10] Epoch 135 | WIN | Score: 70 | Reward: 8.70 | Loss: 1.0304 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.5141
[Test 10] Epoch 136 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9282 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5116
[Test 10] Epoch 137 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.1000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5090
[Test 10] Epoch 138 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.9321 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5066
[Test 10] Epoch 139 | WIN | Score: 90 | Reward: 11.20 | Loss: 0.8599 | Pigs killed: 2/2 | Tries left: 9 | Shots: 1 | Eps: 0.5041
[Test 10] Epoch 140 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9500 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5016
[Test 10] Epoch 141 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.9189 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4992
[Test 10] Epoch 142 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9971 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4967
[Test 10] Epoch 143 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.9338 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4943
[Test 10] Epoch 144 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9093 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4919
[Test 10] Epoch 145 | WIN | Score: 80 | Reward: 10.80 | Loss: 0.8118 | Pigs killed: 2/2 | Tries left: 8 | Shots: 2 | Eps: 0.4895
[Test 10] Epoch 146 | WIN | Score: 50 | Reward: 7.50 | Loss: 0.9110 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.4871
