[Test 5] Epoch 78 | LOSS | Score: -100 | Reward: -7.60 | Loss: 1.0418 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4638
[Test 5] Epoch 79 | WIN | Score: 50 | Reward: 8.50 | Loss: 0.9925 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.4593
[Test 5] Epoch 80 | WIN | Score: 40 | Reward: 7.40 | Loss: 0.9774 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.4548
[Test 5] Epoch 81 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9404 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4504
[Test 5] Epoch 82 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9896 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4460
[Test 5] Epoch 83 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9550 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4417
[Test 5] Epoch 84 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9578 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4374
[Test 5] Epoch 85 | LOSS | Score: -100 | Reward: -6.90 | Loss: 1.0702 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4331
[Test 5] Epoch 86 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4289
[Test 5] Epoch 87 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0132 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4248
[Test 5] Epoch 88 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9944 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4206
[Test 5] Epoch 89 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0108 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4165
[Test 5] Epoch 90 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.8990 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4125
[Test 5] Epoch 91 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9508 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4085
[Test 5] Epoch 92 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9382 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4045
[Test 5] Epoch 93 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9167 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4006
[Test 5] Epoch 94 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0263 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3967
[Test 5] Epoch 95 | WIN | Score: 70 | Reward: 11.00 | Loss: 0.9982 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.3929
[Test 5] Epoch 96 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.8793 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3891
[Test 5] Epoch 97 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9948 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3853
[Test 5] Epoch 98 | WIN | Score: 10 | Reward: 6.10 | Loss: 0.9299 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.3816
[Test 5] Epoch 99 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9726 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3779
[Test 5] Epoch 100 | WIN | Score: 50 | Reward: 8.50 | Loss: 0.9379 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.3742
epoch: 100 wins: 10 avg loss: 0.9821431739621808
[Test 5] Epoch 101 | WIN | Score: 70 | Reward: 10.70 | Loss: 1.1153 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.3706
[Test 5] Epoch 102 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0588 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3670
[Test 5] Epoch 103 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9564 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3634
[Test 5] Epoch 104 | LOSS | Score: -100 | Reward: -6.60 | Loss: 1.0378 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3599
[Test 5] Epoch 105 | WIN | Score: 80 | Reward: 10.80 | Loss: 0.9779 | Pigs killed: 2/2 | Tries left: 8 | Shots: 2 | Eps: 0.3564
[Test 5] Epoch 106 | WIN | Score: 70 | Reward: 10.70 | Loss: 0.9863 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.3530
[Test 5] Epoch 107 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9892 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3496
[Test 5] Epoch 108 | LOSS | Score: -100 | Reward: -6.90 | Loss: 1.0038 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.3462
[Test 5] Epoch 109 | WIN | Score: 20 | Reward: 5.20 | Loss: 0.8909 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.3429
[Test 5] Epoch 110 | WIN | Score: 10 | Reward: 5.10 | Loss: 0.9808 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.3395
[Test 5] Epoch 111 | WIN | Score: 10 | Reward: 4.10 | Loss: 0.9845 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.3363
[Test 5] Epoch 112 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0435 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3330
[Test 5] Epoch 113 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0353 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.3298
